outcome,tract,metric,node,t,p,hemisphere,N,covariates,extent_threshold,cluster_p,passed
memory_accuracy,l_example_tract,NDI,0,2.259,0.03004,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,1,2.0289,0.04991,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,2,2.0549,0.0472,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,3,2.3018,0.02724,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,4,2.2061,0.03384,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,5,2.3054,0.02702,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,6,2.1376,0.03941,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,7,2.3208,0.02607,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,8,2.0426,0.04847,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,9,1.9776,0.05566,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,10,1.9339,0.06102,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,11,2.0807,0.04464,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,12,2.476,0.01812,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,13,2.0481,0.0479,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,14,2.2281,0.03221,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,15,2.6344,0.01235,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,16,2.5563,0.01494,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,17,2.7185,0.01002,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,18,2.3866,0.02238,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,19,2.1366,0.0395,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
memory_accuracy,l_example_tract,NDI,20,2.7457,0.00936,L,40,"ICV, Mean_length_mm, Streamline_count, absolute_motion, age",18,0.012,1
